text,country,country_pair,entity,date,predicted_label,confidence,probability_negative,probability_neutral,probability_positive,prob_sum_ok,risk_score,risk_band,model_certainty
Sample post about CN-US relations.,CN,CN-US,CN_US_entity,2025-02-16,negative,0.8666,0.5299,0.4216,0.0485,True,74.07,Elevated,High
Sample post about CN-US relations.,CN,CN-US,CN_US_entity,2025-01-12,negative,0.7439,0.3423,0.5807,0.077,True,63.26,Elevated,Medium
Sample post about CN-US relations.,CN,CN-US,CN_US_entity,2025-03-10,negative,0.8625,0.4639,0.503,0.0331,True,71.54,Elevated,High
Sample post about CN-US relations.,CN,CN-US,CN_US_entity,2025-01-18,negative,0.6463,0.6167,0.2666,0.1167,True,75.0,High,Medium
Sample post about CN-US relations.,CN,CN-US,CN_US_entity,2025-02-26,negative,0.8913,0.714,0.138,0.148,True,78.3,High,High
Sample post about CN-US relations.,CN,CN-US,CN_US_entity,2025-03-05,negative,0.556,0.6481,0.3043,0.0476,True,80.03,High,Medium
Sample post about CN-US relations.,CN,CN-US,CN_US_entity,2025-01-23,negative,0.5241,0.5145,0.3198,0.1657,True,67.44,Elevated,Low
Sample post about CN-US relations.,CN,CN-US,CN_US_entity,2025-01-11,negative,0.6111,0.7347,0.0,0.2653,True,73.47,Elevated,Medium
Sample post about CN-US relations.,CN,CN-US,CN_US_entity,2025-03-24,positive,0.5991,0.4129,0.0703,0.5167,True,44.8,Guarded,Medium
Sample post about CN-US relations.,CN,CN-US,CN_US_entity,2025-01-27,negative,0.462,0.6781,0.2629,0.0589,True,80.96,High,Low
Sample post about IN-PK relations.,IN,IN-PK,IN_PK_entity,2025-01-15,negative,0.6865,0.4679,0.3652,0.1669,True,65.05,Elevated,Medium
Sample post about IN-PK relations.,IN,IN-PK,IN_PK_entity,2025-02-04,negative,0.8208,0.8166,0.0,0.1834,True,81.66,High,High
Sample post about IN-PK relations.,IN,IN-PK,IN_PK_entity,2025-01-12,negative,0.9284,0.6268,0.128,0.2452,True,69.08,Elevated,High
Sample post about IN-PK relations.,IN,IN-PK,IN_PK_entity,2025-02-11,negative,0.679,0.2664,0.5812,0.1524,True,55.7,Elevated,Medium
Sample post about IN-PK relations.,IN,IN-PK,IN_PK_entity,2025-03-01,negative,0.6248,0.6626,0.2487,0.0887,True,78.69,High,Medium
