event_id,company_ticker,company_name,sector_gics,impact_channel,quarter,mention_text,mention_sentiment,management_action_described,revenue_delta_pct,cogs_delta_pct,operating_income_delta_pct,capex_delta_pct,car_1_5,car_1_30,source,confidence,labeled_by,human_reviewed,notes
russia_invasion_2022,UPS,,20,logistics_operations,,"actors, or criminal groups, theft, misconduct by employees or other insiders, telecommunications failures, misuse, human errors or other catastrophic events. In recent periods, the frequency and sophi,actors, or criminal groups, theft, misconduct by employees or other insiders, telecommunications fa",0.1,,,,,,0.0253,0.0361,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.65
us_chip_export_oct2022,AMZN,,25,innovation_ip,,"In addition, because China-based sellers account for significant portions of our third-party seller services and advertising revenues, and China-based suppliers provide significant portions of our com,In addition, because China-based sellers account for significant portions of our third-party seller",-0.3,,,,,,-0.0669,-0.2058,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.50
us_chip_export_oct2022,CL,,30,innovation_ip,,"In 2025, the United States issued executive orders imposing tariffs on imports from various countries, including China. The effectiveness of some of the announced tariffs has been delayed, but some ha,We expect recent developments in trade relations and the imposition of new and/or additional tariff",0.1,,,,,,0.0339,0.0679,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.50
us_chip_export_oct2023,ACN,,45,innovation_ip,,,-0.3,,,,,,-0.0394,0.0397,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.71
us_chip_export_oct2023,ADP,,45,innovation_ip,,,-0.3,,,,,,-0.0356,-0.0758,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.71
us_chip_export_oct2023,CRM,,45,innovation_ip,,,-0.3,,,,,,-0.0268,0.054,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.71
us_chip_export_oct2023,INTC,,45,innovation_ip,,,-0.3,,,,,,-0.0408,0.0965,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.71
us_chip_export_oct2023,KLAC,,45,innovation_ip,,,-0.3,,,,,,-0.0331,0.1246,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.71
us_chip_export_oct2023,ORCL,,45,innovation_ip,,,-0.3,,,,,,-0.0536,0.0647,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.71
us_chip_export_oct2023,TXN,,45,innovation_ip,,,-0.3,,,,,,-0.0476,-0.0192,event_study,medium,weak_supervision_v2_snorkel,0,Snorkel confidence=0.71
