country_pair,avg_risk_score,max_risk_score,min_risk_score,std_risk_score,row_count,avg_confidence,dominant_risk_band
RU-GB,76.766,91.36,57.2,10.091,10,0.715,High
IL-IR,72.718,87.27,55.84,10.151,10,0.645,Elevated
IN-US,71.263,79.73,58.82,5.929,10,0.681,Elevated
TR-GR,71.054,93.16,47.03,12.444,10,0.725,Elevated
CN-US,70.887,80.96,44.8,10.671,10,0.676,Elevated
KP-US,69.748,93.23,49.83,15.96,10,0.757,Elevated
KP-KR,69.616,85.21,42.46,13.445,10,0.7,High
CN-TW,69.503,87.75,49.65,12.667,10,0.749,Elevated
IN-PK,69.036,82.69,49.08,11.807,10,0.66,Elevated
RU-UA,65.755,89.0,49.58,12.747,10,0.751,Elevated
IN-CN,64.915,83.48,45.17,12.202,10,0.765,Elevated
IL-SA,63.377,77.61,46.18,9.735,10,0.798,Elevated
