input,output,Instruction
"Bitcoin dips as the U.S. banking crisis engulfs more lenders, BTC price falling in line with stocks.",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin (BTC/USD) sought to add to recent gains early in the Asian session as the pair extended recent gains to the 29383.50 area, representing a test of an upside p...",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
The current Bitcoin cycle is now 75% on the way to the next halving. Here's what previous cycles looked like at similar stages in their timeline.,Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
BTC/USD Stops Elected Below 28164:  Sally Ho’s Technical Analysis – 4 May 2023 Bitcoin (BTC/USD) skilled higher volatility early in the Asian session as,Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Trusted since 2012, BitKan cryptocurrency broker exchange provides you a better way to buy, trade and track the cheapest Bitcoin, Ethereum and more.",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
Buyers will have to fiercely defend the respective support in Bitcoin and select altcoins if they want to resume the recovery.,Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
Bitcoin avoids volatility into the weekly and monthly BTC price closes.,Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
Cointelegraph analyst and writer Marcel Pechman explains how a U.S. debt default could impact Bitcoin and the larger cryptocurrency market.,Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"The world was rocked by a sharp drop in the value of Bitcoin, which resulted in a Long Squeeze and the second-largest long liquidation",Extrem Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
it was revealed that the price of Bitcoin has shown signs of potential recovery with an 8% increase to the range of 28-29k USD,Bullish,Predict price variation in percentage of the Bictoin considering this recent market news
"Cryptocurrency News: Bitcoin's recent rebound is just the beginning of its rally, which could surpass $50,000 next year due to halving that reduces the supply of new token",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
"Bitcoin, the world’s largest cryptocurrency by market capitalization, has been on a bullish run in some periods. This represents a…",Bearish,Predict price variation in percentage of the Bictoin considering this recent market news
