company,ticker,sector,revenue_B,scenario,event_category,channel,severity,impact_mid_pct,impact_mid_usd_M,geo_exposure
Apple,AAPL,Information Technology,383,Red Sea shipping disruption,armed_conflict_instability,procurement_supply_chain,-0.321,0.13,500,"Heavy China manufacturing (90%+ iPhones assembled there), global sales in 40+ countries"
Apple,AAPL,Information Technology,383,US-China tariff escalation,trade_policy_actions,procurement_supply_chain,-0.337,0.09,335,"Heavy China manufacturing (90%+ iPhones assembled there), global sales in 40+ countries"
Apple,AAPL,Information Technology,383,Russia-Ukraine escalation,armed_conflict_instability,procurement_supply_chain,-0.321,0.13,500,"Heavy China manufacturing (90%+ iPhones assembled there), global sales in 40+ countries"
Apple,AAPL,Information Technology,383,OPEC production cut,resource_energy_disruptions,procurement_supply_chain,-0.376,0.1,369,"Heavy China manufacturing (90%+ iPhones assembled there), global sales in 40+ countries"
Apple,AAPL,Information Technology,383,Taiwan Strait tensions,armed_conflict_instability,procurement_supply_chain,-0.321,0.13,500,"Heavy China manufacturing (90%+ iPhones assembled there), global sales in 40+ countries"
Apple,AAPL,Information Technology,383,Iran nuclear crisis,armed_conflict_instability,procurement_supply_chain,-0.321,0.13,500,"Heavy China manufacturing (90%+ iPhones assembled there), global sales in 40+ countries"
Apple,AAPL,Information Technology,383,Major cyberattack,armed_conflict_instability,procurement_supply_chain,-0.321,0.13,500,"Heavy China manufacturing (90%+ iPhones assembled there), global sales in 40+ countries"
Apple,AAPL,Information Technology,383,EU regulatory crackdown,regulatory_sovereignty_shifts,procurement_supply_chain,-0.375,0.08,315,"Heavy China manufacturing (90%+ iPhones assembled there), global sales in 40+ countries"
Apple,AAPL,Information Technology,383,Emerging market debt crisis,resource_energy_disruptions,procurement_supply_chain,-0.376,0.1,369,"Heavy China manufacturing (90%+ iPhones assembled there), global sales in 40+ countries"
Apple,AAPL,Information Technology,383,Global supply chain shock,resource_energy_disruptions,procurement_supply_chain,-0.376,0.1,369,"Heavy China manufacturing (90%+ iPhones assembled there), global sales in 40+ countries"
Microsoft,MSFT,Information Technology,245,Red Sea shipping disruption,armed_conflict_instability,procurement_supply_chain,-0.318,0.14,342,"Cloud infrastructure worldwide, enterprise contracts with governments, Azure in 60+ regions"
Microsoft,MSFT,Information Technology,245,US-China tariff escalation,trade_policy_actions,procurement_supply_chain,-0.378,0.08,197,"Cloud infrastructure worldwide, enterprise contracts with governments, Azure in 60+ regions"
Microsoft,MSFT,Information Technology,245,Russia-Ukraine escalation,armed_conflict_instability,procurement_supply_chain,-0.318,0.14,342,"Cloud infrastructure worldwide, enterprise contracts with governments, Azure in 60+ regions"
Microsoft,MSFT,Information Technology,245,OPEC production cut,resource_energy_disruptions,procurement_supply_chain,-0.376,0.15,368,"Cloud infrastructure worldwide, enterprise contracts with governments, Azure in 60+ regions"
Microsoft,MSFT,Information Technology,245,Taiwan Strait tensions,armed_conflict_instability,procurement_supply_chain,-0.318,0.14,342,"Cloud infrastructure worldwide, enterprise contracts with governments, Azure in 60+ regions"
Microsoft,MSFT,Information Technology,245,Iran nuclear crisis,armed_conflict_instability,procurement_supply_chain,-0.318,0.14,342,"Cloud infrastructure worldwide, enterprise contracts with governments, Azure in 60+ regions"
