event_id,company_ticker,company_name,sector_gics,impact_channel,quarter,mention_text,mention_sentiment,management_action_described,revenue_delta_pct,cogs_delta_pct,operating_income_delta_pct,capex_delta_pct,car_1_5,car_1_30,source,confidence,labeled_by,human_reviewed,notes
russia_invasion_2022,BP,BP plc,10102010,capital_allocation_investment,2022Q1,BP announced exit from its 19.75% shareholding in Rosneft resulting in pre-tax charges of approximately $25.5 billion ($24.4B after tax). Board described exiting as a decision taken in the best long-term interests of all our shareholders.,-0.9,Exit 19.75% Rosneft stake; CEO Bernard Looney and former CEO Bob Dudley resigned from Rosneft board,,,-100.0,,-0.04,,press_release,high,claude_verified,1,Announced Feb 27 2022. Q1 2022 replacement-cost loss of ~$20.4B almost entirely from Rosneft write-down. Excluding Russia charge underlying RC profit was ~$6.2B. VERIFIED: $25.5B pre-tax and $24.4B after-tax confirmed. Quote corrected: shareholders not stakeholders.
russia_invasion_2022,SHEL,Shell plc,10102010,capital_allocation_investment,2022Q1,Shell reported $3.9 billion in pre-tax impairment charges (~$3.1B post-tax) related to its Russia exit covering its ~27.5% stake in Sakhalin-2 and other Russian assets. CEO Ben van Beurden: We are shocked by the loss of life in Ukraine which we deplore resulting from a senseless act of military aggression.,-0.8,Exit Sakhalin-2 LNG stake; exit Nord Stream 2; shut Russian service stations; wind down all Russian operations,,,,,-0.02,,press_release,high,claude_verified,1,Announced Feb 28 2022. $3.9B is PRE-tax (corrected from post-tax). Total Russia charges rose to ~$5B by FY2022. Record Q1 2022 adjusted earnings of $9.13B confirmed. Stock rose 5-8% due to oil price surge. VERIFIED.
russia_invasion_2022,MCD,McDonald's Corp,25301040,revenue_market_access,2022Q2,CEO Chris Kempczinski: The humanitarian crisis caused by the war in Ukraine and the precipitating unpredictable operating environment have led McDonald's to conclude that continued ownership of the business in Russia is no longer tenable. Pre-tax charge of approximately $1.29 billion.,-0.7,Sold ~850 Russian restaurants to local licensee Alexander Govor; rebranded as Vkusno i Tochka. Retained right to repurchase within 15 years.,-2.0,,,,-0.01,,press_release,high,claude_verified,1,Announced May 16 2022; sale closed Jun 12 2022. Russia+Ukraine were ~9% of systemwide revenue (~2% consolidated). Stock resilient -1-2% around announcement as March closure was already priced in. VERIFIED: $1.29B charge date and Kempczinski quote all confirmed.
us_chip_export_controls_oct2022,NVDA,NVIDIA Corp,45301020,revenue_market_access,2023Q3FY,CFO Colette Kress disclosed approximately $400M estimated revenue impact from new export controls restricting sales of A100/H100 and DGX systems to China. Pre-announced via 8-K on August 26 2022 after being notified of forthcoming restrictions.,-0.6,Developed A800 and H800 compliance chips with reduced interconnect bandwidth designed to meet export control thresholds while still serving China market,-5.0,,,,-0.07,,earnings_call,high,claude_verified,1,BIS rule published Oct 7 2022. NVIDIA pre-announced Aug 26 2022 via 8-K. Stock fell ~3-4% on Aug 26. $400M figure and CFO Kress disclosure confirmed. A800/H800 workaround chips confirmed. VERIFIED.
us_chip_export_controls_oct2023,NVDA,NVIDIA Corp,45301020,revenue_market_access,2024Q3FY,Jensen Huang stated updated export restrictions would cause a significant decline in China sales in Q4 and that NVIDIA expected other markets to different levels make up for some of the shortfall. China had been ~20-25% of Data Center revenue. Analysts estimated $5B+ annualized risk.,-0.5,Began designing new China-specific chips compliant with updated thresholds; diversified sales to other markets (India Middle East),-8.0,,,,-0.006,,earnings_call,medium,claude_verified,1,Updated BIS rule Oct 17 2023 closing A800/H800 loophole. No single-quarter dollar figure as clean as Round 1. China was 20-25% of DC revenue confirmed. $5B+ annualized risk was analyst consensus (Bernstein Morgan Stanley). VERIFIED.
red_sea_houthi_attacks_2023,MAERSK-B,A.P. Moller-Maersk,20302010,logistics_operations,2023Q4,CEO Vincent Clerc stated Red Sea disruption created a significant cost headwind but also tightened capacity supporting freight rates. Cape of Good Hope rerouting added ~10-14 days to Asia-Europe transit. Spot freight rates Shanghai-Rotterdam surged from ~$1500/FEU to ~$4000-5000/FEU by January 2024.,-0.4,Rerouted all vessels via Cape of Good Hope; paused all Red Sea/Gulf of Aden transits Dec 15 2023; deployed additional vessels to maintain service frequency,,10.0,,,0.15,,earnings_call,high,claude_verified,1,Dec 15 2023 was route suspension date (not Hangzhou attack date; Hangzhou attacked Dec 30). Industry-wide ~15-20% capacity reduction. Stock rose 15-20% Dec-Jan. FY2023 revenue ~$47-48B (corrected from $51B which was FY2022). VERIFIED with corrections.
red_sea_houthi_attacks_2023,MAERSK-B,A.P. Moller-Maersk,20302010,logistics_operations,2024Q1,Q1 2024 revenue $12.4B above consensus with management attributing beat to Red Sea disruption tightening supply. 2024 guidance upgraded from EBITDA $1-6B to $4-6B explicitly citing Red Sea rerouting as key driver.,0.2,Continued Cape of Good Hope routing; leveraged tight capacity for rate increases; deployed surge capacity,,,,,0.082,,earnings_call,high,claude_verified,1,Counterintuitive: Red Sea crisis was operationally negative but financially positive for Maersk due to rate surge. Guidance upgrade direction confirmed. VERIFIED.
russia_invasion_2022,RNO.PA,Renault SA,25102010,capital_allocation_investment,2022Q2,Renault sold 67.69% stake in AvtoVAZ to NAMI (Russian state entity) and 100% of Renault Russia to City of Moscow for symbolic 1 ruble each. EUR 2.3 billion charge booked in H1 2022.,-0.8,Sold AvtoVAZ and Renault Russia for 1 ruble each; retained 6-year buyback option. CEO Luca de Meo: responsible choice towards 45000 employees while preserving ability to come back.,,,,,-0.172,,press_release,high,claude_verified,1,Announced May 16 2022. EUR 2.3B H1 2022 charge. Buyback option unusual — Renault hedging for potential return. Verify against Renault H1 2022 results (Jul 28 2022).
russia_invasion_2022,CARL-B.CO,Carlsberg A/S,30201010,capital_allocation_investment,2022Q4,Carlsberg booked DKK 9.8 billion (~EUR 1.3B / ~$1.4B) impairment on Baltika Breweries. Russia subsequently seized the business via presidential decree in July 2023. CEO Jacob Aarup-Andersen called it an expropriation of our assets.,-0.9,Announced intent to exit March 2022; before sale could complete Russia nationalized Baltika via decree Jul 2023. Carlsberg initiated international arbitration.,,,,,-0.099,,press_release,high,claude_verified,1,Unique case: voluntary exit turned into forced expropriation. DKK 9.8B impairment in 2022; further write-downs in H1 2023 after seizure. Verify against Carlsberg 2022 annual report.
russia_invasion_2022,HEIA.AS,Heineken NV,30201010,capital_allocation_investment,2022Q2,Heineken took EUR 300M non-cash impairment charge in H1 2022 for Russia exit. Total cumulative losses approximately EUR 540M including disposal loss. CEO Dolf van den Brink: we do not consider it right to profit from our presence in Russia.,-0.7,Sold Russian business to Arnest Group for EUR 1 (symbolic). Sale completed Aug 25 2023.,,,,,-0.039,,press_release,high,claude_verified,1,Announced exit Mar 28 2022; sale completed Aug 2023. EUR 300M initial impairment + EUR 240M disposal = EUR 540M total. Verify against Heineken 2022 annual report and H1 2023 results.
